Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=163, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=40000, name='pool2_40K', nesterov=True, optimizer='sgd', out_mode='pool', patience=7, pool=[10], resume=None, seed=525383, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39636
Filters : 163
*******
Epoch : 1, lr : 0.1, epoch_time : 2.8542696555455525, train_loss : 1.8946313858032227, train_acc(top1) : 22.18400001525879, test_loss : 2.119288090515137, test_acc(top1) : 20.309999465942383, 
Epoch : 2, lr : 0.1, epoch_time : 2.8489004135131837, train_loss : 1.8160529136657715, train_acc(top1) : 28.97800064086914, test_loss : 1.9271039123535156, test_acc(top1) : 30.190000534057617, 
Epoch : 3, lr : 0.1, epoch_time : 2.851720694700877, train_loss : 1.7862974405288696, train_acc(top1) : 33.645999908447266, test_loss : 1.961640219116211, test_acc(top1) : 29.729999542236328, 
Epoch : 4, lr : 0.1, epoch_time : 2.840863120555878, train_loss : 1.41599440574646, train_acc(top1) : 39.96200180053711, test_loss : 1.7837816604614258, test_acc(top1) : 36.189998626708984, 
Epoch : 5, lr : 0.1, epoch_time : 2.850016462802887, train_loss : 1.283138394355774, train_acc(top1) : 51.38800048828125, test_loss : 1.2451476844787597, test_acc(top1) : 55.43000030517578, 
Epoch : 6, lr : 0.1, epoch_time : 2.846364367008209, train_loss : 1.0302072763442993, train_acc(top1) : 58.007999420166016, test_loss : 1.2541766716003417, test_acc(top1) : 56.70000076293945, 
Epoch : 7, lr : 0.1, epoch_time : 2.8497558355331423, train_loss : 0.9991730451583862, train_acc(top1) : 62.36600112915039, test_loss : 1.1507943389892579, test_acc(top1) : 58.2599983215332, 
Epoch : 8, lr : 0.1, epoch_time : 2.8436553359031675, train_loss : 0.8975535035133362, train_acc(top1) : 64.47000122070312, test_loss : 1.184675661468506, test_acc(top1) : 58.060001373291016, 
Epoch : 9, lr : 0.1, epoch_time : 2.8456705689430235, train_loss : 1.0120981931686401, train_acc(top1) : 66.19599914550781, test_loss : 1.2156655776977539, test_acc(top1) : 59.970001220703125, 
Epoch : 10, lr : 0.1, epoch_time : 2.8481631954511006, train_loss : 0.9215136766433716, train_acc(top1) : 67.68399810791016, test_loss : 1.0075659362792968, test_acc(top1) : 65.19000244140625, 
Epoch : 11, lr : 0.1, epoch_time : 2.8441313902537027, train_loss : 0.8074259161949158, train_acc(top1) : 69.05400085449219, test_loss : 0.9623961242675781, test_acc(top1) : 66.31999969482422, 
Epoch : 12, lr : 0.1, epoch_time : 2.8578412969907125, train_loss : 0.8568063378334045, train_acc(top1) : 69.35800170898438, test_loss : 0.8514065048217774, test_acc(top1) : 69.44000244140625, 
Epoch : 13, lr : 0.1, epoch_time : 2.849303436279297, train_loss : 0.8847708702087402, train_acc(top1) : 70.67400360107422, test_loss : 0.9435859474182129, test_acc(top1) : 66.5199966430664, 
Epoch : 14, lr : 0.1, epoch_time : 2.853385841846466, train_loss : 0.8952257633209229, train_acc(top1) : 71.68599700927734, test_loss : 0.9196240386962891, test_acc(top1) : 67.43000030517578, 
Epoch : 15, lr : 0.1, epoch_time : 2.861584230264028, train_loss : 1.0196003913879395, train_acc(top1) : 71.36000061035156, test_loss : 0.9219158252716064, test_acc(top1) : 67.75, 
Epoch : 16, lr : 0.1, epoch_time : 2.8486660281817118, train_loss : 0.8645187616348267, train_acc(top1) : 72.62000274658203, test_loss : 0.8835751281738281, test_acc(top1) : 69.5199966430664, 
Epoch : 17, lr : 0.1, epoch_time : 2.84814080397288, train_loss : 0.707317590713501, train_acc(top1) : 73.05400085449219, test_loss : 0.7829917224884033, test_acc(top1) : 73.13999938964844, 
Epoch : 18, lr : 0.1, epoch_time : 2.84847598473231, train_loss : 0.6912031769752502, train_acc(top1) : 73.37200164794922, test_loss : 0.8119608638763428, test_acc(top1) : 71.30000305175781, 
Epoch : 19, lr : 0.1, epoch_time : 2.8549568255742392, train_loss : 0.6109302043914795, train_acc(top1) : 73.72200012207031, test_loss : 0.7823103054046631, test_acc(top1) : 72.97000122070312, 
Epoch : 20, lr : 0.1, epoch_time : 2.8520586291948953, train_loss : 0.5889981985092163, train_acc(top1) : 74.302001953125, test_loss : 0.8453535415649414, test_acc(top1) : 69.69999694824219, 
Epoch : 21, lr : 0.1, epoch_time : 2.838702301184336, train_loss : 0.6705387234687805, train_acc(top1) : 74.9219970703125, test_loss : 0.9112503684997558, test_acc(top1) : 69.86000061035156, 
Epoch : 22, lr : 0.1, epoch_time : 2.8518332203229266, train_loss : 0.5675466656684875, train_acc(top1) : 75.46800231933594, test_loss : 1.0642062057495116, test_acc(top1) : 65.18000030517578, 
Epoch : 23, lr : 0.1, epoch_time : 2.8409923394521077, train_loss : 0.7356650829315186, train_acc(top1) : 75.52200317382812, test_loss : 0.8496537303924561, test_acc(top1) : 71.22000122070312, 
Epoch : 24, lr : 0.1, epoch_time : 2.8552607258160907, train_loss : 0.5590392351150513, train_acc(top1) : 75.7239990234375, test_loss : 0.7913658885955811, test_acc(top1) : 73.11000061035156, 
Epoch : 25, lr : 0.1, epoch_time : 2.848388997713725, train_loss : 0.9738442301750183, train_acc(top1) : 76.1780014038086, test_loss : 0.7829370491027832, test_acc(top1) : 72.43000030517578, 
Epoch : 26, lr : 0.1, epoch_time : 2.8402198910713197, train_loss : 0.6819236278533936, train_acc(top1) : 76.4520034790039, test_loss : 0.7657620014190674, test_acc(top1) : 73.55999755859375, 
Epoch : 27, lr : 0.1, epoch_time : 2.853637146949768, train_loss : 0.6330179572105408, train_acc(top1) : 76.73200225830078, test_loss : 1.0379586631774902, test_acc(top1) : 66.68000030517578, 
Epoch : 28, lr : 0.1, epoch_time : 2.850260051091512, train_loss : 0.4370546042919159, train_acc(top1) : 77.22799682617188, test_loss : 0.7774151565551758, test_acc(top1) : 72.91000366210938, 
Epoch : 29, lr : 0.1, epoch_time : 2.850704026222229, train_loss : 0.4767049551010132, train_acc(top1) : 77.16600036621094, test_loss : 0.8323182022094726, test_acc(top1) : 71.20999908447266, 
Epoch : 30, lr : 0.1, epoch_time : 2.8540364702542624, train_loss : 0.5636218786239624, train_acc(top1) : 77.38999938964844, test_loss : 0.6796066467285157, test_acc(top1) : 75.93000030517578, 
Epoch : 31, lr : 0.1, epoch_time : 2.8475815216700235, train_loss : 0.7522343993186951, train_acc(top1) : 77.63800048828125, test_loss : 0.7778545253753663, test_acc(top1) : 71.97000122070312, 
Epoch : 32, lr : 0.1, epoch_time : 2.845607594648997, train_loss : 0.8400407433509827, train_acc(top1) : 78.02799987792969, test_loss : 0.814625965499878, test_acc(top1) : 72.45999908447266, 
Epoch : 33, lr : 0.1, epoch_time : 2.8546833356221515, train_loss : 0.610019326210022, train_acc(top1) : 77.66200256347656, test_loss : 0.9501417640686035, test_acc(top1) : 71.2699966430664, 
Epoch : 34, lr : 0.1, epoch_time : 2.8495300809542337, train_loss : 0.7359129190444946, train_acc(top1) : 78.1259994506836, test_loss : 1.3923786155700684, test_acc(top1) : 61.599998474121094, 
Epoch : 35, lr : 0.1, epoch_time : 2.8481257875760395, train_loss : 0.5764968991279602, train_acc(top1) : 77.81400299072266, test_loss : 0.7734878582000733, test_acc(top1) : 74.0999984741211, 
Epoch : 36, lr : 0.1, epoch_time : 2.854668748378754, train_loss : 0.7137081623077393, train_acc(top1) : 77.91999816894531, test_loss : 0.8484949314117431, test_acc(top1) : 71.73999786376953, 
Epoch : 37, lr : 0.1, epoch_time : 2.8446694453557333, train_loss : 0.5766509175300598, train_acc(top1) : 78.40399932861328, test_loss : 0.7563739387512207, test_acc(top1) : 74.4000015258789, 
Epoch : 38, lr : 0.1, epoch_time : 2.8482442776362102, train_loss : 0.5214996933937073, train_acc(top1) : 78.12799835205078, test_loss : 0.656298885345459, test_acc(top1) : 77.63999938964844, 
