Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=163, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=40000, name='pool0_40K', nesterov=True, optimizer='sgd', out_mode='pool', patience=7, pool=[40], resume=None, seed=996675, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39636
Filters : 163
*******
Epoch : 1, lr : 0.1, epoch_time : 5.988276298840841, train_loss : 2.219628095626831, train_acc(top1) : 16.945999145507812, test_loss : 2.284942202758789, test_acc(top1) : 16.979999542236328, 
Epoch : 2, lr : 0.1, epoch_time : 6.060506963729859, train_loss : 2.087517261505127, train_acc(top1) : 17.965999603271484, test_loss : 2.14711907043457, test_acc(top1) : 20.59000015258789, 
Epoch : 3, lr : 0.1, epoch_time : 6.030248808860779, train_loss : 2.0412425994873047, train_acc(top1) : 21.118000030517578, test_loss : 2.119235025024414, test_acc(top1) : 19.780000686645508, 
Epoch : 4, lr : 0.1, epoch_time : 6.022318470478058, train_loss : 2.268507719039917, train_acc(top1) : 19.624000549316406, test_loss : 2.2920133178710937, test_acc(top1) : 15.039999961853027, 
Epoch : 5, lr : 0.1, epoch_time : 6.03904801607132, train_loss : 2.123225212097168, train_acc(top1) : 21.832000732421875, test_loss : 2.3065458602905275, test_acc(top1) : 18.610000610351562, 
Epoch : 6, lr : 0.1, epoch_time : 6.055415590604146, train_loss : 2.140467405319214, train_acc(top1) : 22.239999771118164, test_loss : 2.2489891677856444, test_acc(top1) : 18.59000015258789, 
Epoch : 7, lr : 0.1, epoch_time : 6.033956996599833, train_loss : 1.9949077367782593, train_acc(top1) : 24.1299991607666, test_loss : 2.274593653869629, test_acc(top1) : 18.559999465942383, 
Epoch : 8, lr : 0.1, epoch_time : 6.046954484780629, train_loss : 2.085690975189209, train_acc(top1) : 24.163999557495117, test_loss : 2.3979422927856446, test_acc(top1) : 20.030000686645508, 
Epoch : 9, lr : 0.1, epoch_time : 6.057698218027751, train_loss : 2.013524055480957, train_acc(top1) : 26.280000686645508, test_loss : 2.1038051681518555, test_acc(top1) : 20.530000686645508, 
Epoch : 10, lr : 0.1, epoch_time : 6.050923132896424, train_loss : 1.9393631219863892, train_acc(top1) : 26.6560001373291, test_loss : 2.047666259765625, test_acc(top1) : 24.739999771118164, 
Epoch : 11, lr : 0.1, epoch_time : 6.052480447292328, train_loss : 1.9100738763809204, train_acc(top1) : 27.02199935913086, test_loss : 2.0545404541015624, test_acc(top1) : 23.6299991607666, 
Epoch : 12, lr : 0.1, epoch_time : 6.054802187283834, train_loss : 1.920946478843689, train_acc(top1) : 28.031999588012695, test_loss : 2.053369889831543, test_acc(top1) : 22.479999542236328, 
Epoch : 13, lr : 0.1, epoch_time : 6.049157226085663, train_loss : 1.899349331855774, train_acc(top1) : 29.63599967956543, test_loss : 1.9835192092895508, test_acc(top1) : 26.920000076293945, 
Epoch : 14, lr : 0.1, epoch_time : 6.064789299170176, train_loss : 1.8994512557983398, train_acc(top1) : 31.40999984741211, test_loss : 1.9334872634887694, test_acc(top1) : 29.149999618530273, 
Epoch : 15, lr : 0.1, epoch_time : 6.052627718448639, train_loss : 1.7968794107437134, train_acc(top1) : 32.57600021362305, test_loss : 1.7990350936889647, test_acc(top1) : 34.33000183105469, 
Epoch : 16, lr : 0.1, epoch_time : 6.065778954823812, train_loss : 1.6854491233825684, train_acc(top1) : 34.63199996948242, test_loss : 1.903770036315918, test_acc(top1) : 31.469999313354492, 
Epoch : 17, lr : 0.1, epoch_time : 6.045351767539978, train_loss : 1.6535228490829468, train_acc(top1) : 37.012001037597656, test_loss : 1.8436222320556641, test_acc(top1) : 31.93000030517578, 
Epoch : 18, lr : 0.1, epoch_time : 6.060418903827667, train_loss : 1.7330282926559448, train_acc(top1) : 39.220001220703125, test_loss : 1.6030894088745118, test_acc(top1) : 41.02000045776367, 
Epoch : 19, lr : 0.1, epoch_time : 6.076016978422801, train_loss : 1.4992977380752563, train_acc(top1) : 42.374000549316406, test_loss : 1.805321713256836, test_acc(top1) : 35.220001220703125, 
Epoch : 20, lr : 0.1, epoch_time : 6.049487674236298, train_loss : 1.3510507345199585, train_acc(top1) : 44.513999938964844, test_loss : 1.6770210525512694, test_acc(top1) : 38.95000076293945, 
